Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA
SC0,23/09/17,Rangers,Celtic,0,2,A,0,0,D,C Thomson,6,18,1,7,12,11,2,11,2,1,0,0,4.75,3.8,1.7,4.6,3.8,1.7,4.5,3.5,1.75,4.6,3.9,1.67,4.65,4.1,1.77,4.5,3.8,1.73,4.4,4.1,1.73,37,5,4.43,4.15,3.91,1.77,1.71,33,1.62,1.57,2.48,2.32,15,0.75,1.95,1.9,2,1.94,6.35,4.62,1.54
SC0,23/09/17,Ross County,Hibernian,0,1,A,0,1,A,A Dallas,8,15,3,7,14,9,6,8,2,1,0,0,4.75,3.6,1.73,3.9,3.7,1.85,3.7,3.5,1.9,4.2,3.7,1.8,4.27,3.98,1.85,3.9,3.6,1.91,4.2,3.8,1.83,37,4.75,4.05,4,3.69,1.91,1.81,37,1.8,1.71,2.21,2.09,14,0.5,2.11,2.04,1.87,1.81,3.76,3.62,2.07
SC0,23/09/17,St Johnstone,Hamilton,2,1,H,0,1,A,W Collum,8,16,2,6,7,17,5,7,1,1,0,1,1.85,3.5,4.2,1.85,3.5,4.1,1.85,3.45,4,1.91,3.3,4,1.91,3.58,4.5,1.91,3.5,4,1.9,3.5,4.2,37,1.95,1.88,3.6,3.43,4.5,4.08,36,2.11,2.02,1.82,1.75,15,-0.5,1.96,1.9,2.02,1.94,1.95,3.68,4.14
SC0,24/09/17,Motherwell,Aberdeen,0,1,A,0,0,D,N Walsh,9,8,2,3,12,12,8,4,2,2,0,0,4,3.75,1.83,4.2,3.6,1.8,4.9,3.7,1.65,4,3.6,1.85,4.26,3.76,1.91,3.8,3.6,1.91,4,3.75,1.8,35,4.9,3.99,3.85,3.63,1.91,1.84,34,1.87,1.78,2.09,1.99,12,0.5,2.05,2,1.91,1.85,4.21,3.71,1.93
SC0,29/09/17,Hamilton,Rangers,1,4,A,1,3,A,A Dallas,13,5,9,5,14,16,7,3,1,1,0,1,6.5,4.5,1.45,6.25,4.1,1.5,7,4,1.45,6,4.25,1.5,6.93,4.6,1.51,7,4.4,1.44,6,4.6,1.5,37,7,6.05,4.65,4.36,1.55,1.48,31,1.67,1.62,2.32,2.22,15,1,2.08,2.02,1.87,1.81,7.92,4.98,1.43
SC0,30/09/17,Aberdeen,St Johnstone,3,0,H,2,0,H,J Beaton,13,4,7,0,14,12,8,1,2,1,0,0,1.55,3.75,6.5,1.57,3.75,6,1.6,3.7,5.4,1.53,3.9,6,1.56,4.16,7.02,1.6,4,5.5,1.53,4,5.75,37,1.62,1.55,4.16,3.91,7.02,5.89,35,2,1.9,1.94,1.87,16,-1,2.03,1.96,1.93,1.87,1.56,4.07,7.3
SC0,30/09/17,Celtic,Hibernian,2,2,D,1,0,H,W Collum,13,15,5,7,11,14,3,6,3,2,0,0,1.25,6,11,1.22,6.25,11.5,1.25,5.5,10.3,1.25,5.75,11,1.24,6.97,12.82,1.22,6,12,1.25,5.75,10,37,1.27,1.24,6.97,6.07,13.35,10.54,27,1.5,1.44,3,2.64,14,-1.75,2.06,1.98,1.95,1.85,1.28,6.31,12.02
SC0,30/09/17,Dundee,Hearts,2,1,H,1,0,H,S McLean,9,11,6,4,15,12,6,10,3,1,0,0,3.75,3.4,2,3.5,3.25,2.1,3.3,3.3,2.1,3.4,3.3,2.1,3.54,3.52,2.18,3.5,3.5,2.05,3.3,3.4,2.1,37,3.75,3.39,3.52,3.36,2.2,2.09,35,1.99,1.9,1.96,1.87,15,0.25,2.07,2.02,1.89,1.83,3.88,3.48,2.08
SC0,30/09/17,Kilmarnock,Ross County,0,2,A,0,2,A,C Thomson,9,9,1,6,10,8,3,10,0,0,0,0,2.6,3.25,2.7,2.55,3.25,2.7,2.6,3.2,2.6,2.65,3.25,2.65,2.79,3.33,2.73,2.62,3.4,2.62,2.6,3.3,2.6,37,2.8,2.63,3.4,3.24,2.75,2.62,35,2.08,1.95,1.91,1.82,16,0,1.98,1.91,2,1.92,3.05,3.19,2.61
SC0,30/09/17,Motherwell,Partick,3,0,H,1,0,H,G Aitken,16,4,7,0,8,10,10,3,0,4,0,0,2.1,3.25,3.5,2,3.3,3.7,2,3.3,3.6,2.1,3.4,3.4,2.17,3.48,3.62,2.05,3.5,3.5,2.05,3.5,3.3,37,2.17,2.07,3.5,3.37,3.7,3.45,35,1.98,1.89,1.95,1.87,14,-0.5,2.16,2.09,1.82,1.77,2.23,3.41,3.53
SC0,13/10/17,St Johnstone,Rangers,0,3,A,0,1,A,D Robertson,5,15,2,5,11,12,16,2,1,3,1,0,4.75,3.8,1.7,4.5,3.9,1.7,4.5,3.5,1.75,4.5,3.75,1.75,4.85,3.98,1.76,4.8,3.8,1.7,4.6,3.9,1.73,35,4.95,4.56,3.98,3.77,1.78,1.72,30,1.79,1.72,2.19,2.08,17,0.75,1.95,1.9,2,1.94,5.31,3.88,1.72
SC0,14/10/17,Celtic,Dundee,1,0,H,0,0,D,A Dallas,19,11,9,4,10,17,5,4,0,3,0,0,1.1,10,21,1.08,10.5,19.5,1.12,8,16,1.11,10,29,,,,1.1,9.5,21,1.08,11,29,34,1.12,1.09,11,9.51,32.35,22.24,29,1.31,1.26,4,3.62,14,-2.5,1.86,1.8,2.11,2.04,1.11,10.95,27.42
SC0,14/10/17,Hamilton,Motherwell,1,2,A,1,1,D,C Thomson,8,16,5,5,13,11,6,10,1,2,0,0,2.9,3.5,2.3,2.85,3.3,2.4,2.65,3.3,2.5,3,3.4,2.3,3.14,3.56,2.34,2.88,3.4,2.38,3,3.4,2.38,35,3.14,2.92,3.56,3.37,2.5,2.33,34,1.91,1.83,2.03,1.94,16,0,2.24,2.15,1.76,1.71,3.23,3.55,2.3
SC0,14/10/17,Hibernian,Aberdeen,0,1,A,0,1,A,S McLean,13,7,4,2,9,16,7,0,2,3,0,0,2.25,3.6,2.9,2.4,3.5,2.75,2.6,3.2,2.6,2.4,3.3,2.87,2.37,3.63,3.06,2.45,3.4,2.8,2.45,3.4,2.88,35,2.6,2.38,3.63,3.37,3.06,2.85,34,1.98,1.9,1.97,1.87,16,-0.25,2.09,2.04,1.87,1.81,2.38,3.6,3.05
SC0,14/10/17,Partick,Kilmarnock,0,2,A,0,1,A,K Clancy,7,10,3,6,9,12,6,2,1,1,0,0,2.1,3.4,3.5,2.05,3.4,3.5,2.2,3.3,3.1,2.15,3.2,3.5,2.25,3.5,3.39,2.15,3.3,3.4,2.2,3.4,3.3,35,2.25,2.15,3.5,3.29,3.6,3.35,33,2.19,2.08,1.78,1.71,16,-0.25,1.94,1.89,2.02,1.95,2.04,3.4,4.16
SC0,14/10/17,Ross County,Hearts,1,2,A,1,1,D,W Collum,10,10,4,4,11,14,4,6,3,4,0,1,2.8,3.4,2.4,2.8,3.4,2.4,2.75,3.3,2.4,2.87,3.3,2.4,2.85,3.79,2.44,2.75,3.6,2.4,2.88,3.5,2.4,35,2.9,2.8,3.79,3.42,2.5,2.38,34,1.95,1.88,1.99,1.89,15,0,2.19,2.08,1.81,1.76,3.18,3.65,2.29
